Marca temporal,1. (MBI) Me siento emocionalmente defraudado en mi trabajo.,2. (MBI) Cuando termino mi jornada de trabajo me siento agotado.,3. (MBI) Cuando me levanto por la mañana y me enfrento a otra jornada de trabajo me siento agotado.,4. (MBI) Siento que puedo entender fácilmente a las personas que tengo que atender.,"5. (MBI) Siento que estoy tratando a algunos beneficiados de mí, como si fuesen objetos 
impersonales.",6. (MBI) Siento que trabajar todo el día con la gente me cansa.,7. (MBI) Siento que trato con mucha efectividad los problemas de las personas a las que tengo que atender.,8. (MBI) Siento que mi trabajo me está desgastando.,"9. (MBI) Siento que estoy influyendo positivamente en las vidas de otras personas a través 
de mi trabajo.",10. (MBI) Siento que me he hecho más duro con la gente.,11. (MBI) Me preocupa que este trabajo me está endureciendo emocionalmente.,12. (MBI) Me siento muy enérgico en mi trabajo.,13. (MBI) Me siento frustrado por el trabajo.,14. (MBI) Siento que estoy demasiado tiempo en mi trabajo.,15. (MBI) Siento que realmente no me importa lo que les ocurra a las personas a las que tengo que atender profesionalmente.,16. (MBI) Siento que trabajar en contacto directo con la gente me cansa.,17. (MBI) Siento que puedo crear con facilidad un clima agradable en mi trabajo.,18. (MBI) Me siento estimulado después de haber trabajado íntimamente con quienes tengo que atender.,19. (MBI) Creo que consigo muchas cosas valiosas en este trabajo., 20. (MBI) Me siento como si estuviera al límite de mis posibilidades.,21. (MBI) Siento que en mi trabajo los problemas emocionales son tratados de forma adecuada.,22. (MBI) Me parece que los beneficiarios de mi trabajo me culpan de algunos problemas.,23. (UWES-9) En mi trabajo me siento lleno de energía.,24. (UWES-9) Me siento con fuerza en mi trabajo.,25. (UWES-9) Estoy ilusionado con mi trabajo.,26. (UWES-9) Mi trabajo me inspira.,27. (UWES-9) Cuando me levanto por las mañanas tengo ganas de ir a trabajar.,28. (UWES-9) Estoy feliz cuando trabajo con intensidad.,29. (UWES-9) Estoy orgulloso de lo que hago.,30. (UWES-9) Estoy inmerso en mi trabajo.,31. (UWES-9) Me dejo llevar por el trabajo.,"32. ¿Cuántas tareas críticas manejas simultáneamente (tareas pendientes a la vez)? (0=nada, 10=críticas)","33. ¿Qué exposición a las pantallas tienes en el trabajo? (0=muy poco, 10=excesiva)","34. ¿Cómo describiría la calidad de su sueño (en cuanto a horas dormidas y lo reparador que fuera)? (0=insuficiente, 10=excelente)","35. ¿Dispones de Pausas Activas en el Trabajo? (0=nulas, 10=muchas)","36. ¿Cómo describirías tu Entorno de Trabajo? (0=hostil, 10=muy colaborativo)",AE_total,DP_total,RP_total,AE_nivel,DP_nivel,RP_nivel,AE_nivel2,DP_nivel2,RP_nivel2,Vig_media,Ded_media,Abs_media,Vig_nivel,Ded_nivel,Abs_nivel,Vig_nivel2,Ded_nivel2,Abs_nivel2,burnout_fuzzy
2026/05/08 4:48:22 p. m. EEST,1,4,4,4,1,1,5,1,4,3,1,5,1,1,1,1,5,5,5,1,4,1,6,6,6,6,6,5,6,6,0,5.0,Estándar (5-8h),Aceptable,10.0,10.0,15,7,37,Bajo,Bajo,Alto,Bajo,Bajo,Alto,6.0,6.0,3.67,Muy alto,Muy alto,Medio,Muy alto,Muy alto,Medio,2.85
2026/05/08 5:12:20 p. m. EEST,1,3,3,5,1,2,5,2,5,1,1,4,3,2,1,3,5,3,5,2,5,1,5,3,5,5,3,0,6,5,0,5.0,Estándar (5-8h),Aceptable,10.0,10.0,21,5,37,Bajo,Bajo,Alto,Bajo,Bajo,Alto,3.67,5.33,1.67,Medio,Medio,Muy Bajo,Medio,Alto,Muy Bajo,3.17
2026/05/08 5:23:16 p. m. EEST,4,5,4,5,1,4,5,5,5,5,3,3,5,5,4,5,1,2,2,5,2,2,0,0,0,0,0,0,0,6,6,8.0,Reducida (<4h),Insuficiente,0.0,5.0,42,15,25,Alto,Medio,Bajo,Alto,Alto,Bajo,0.0,0.0,4.0,Muy Bajo,Muy Bajo,Medio,Muy Bajo,Muy Bajo,Medio,7.07
2026/05/08 6:36:20 p. m. EEST,3,4,1,5,1,4,4,3,4,3,1,4,3,4,1,4,4,4,5,3,3,3,5,6,6,6,5,5,5,6,5,8.0,Estándar (5-8h),Pobre,10.0,10.0,29,9,33,Medio,Medio,Medio,Alto,Medio,Medio,5.33,5.67,5.33,Alto,Medio,Alto,Alto,Alto,Muy alto,1.69
2026/05/08 7:36:19 p. m. EEST,3,4,4,5,3,3,3,4,4,1,4,4,3,3,1,4,5,3,3,4,1,4,3,5,1,5,0,0,6,6,6,8.0,Reducida (<4h),Excelente y Reparador,5.0,5.0,32,13,28,Medio,Medio,Medio,Alto,Alto,Bajo,2.67,4.0,4.0,Bajo,Medio,Medio,Bajo,Medio,Medio,6.46
2026/05/08 7:43:52 p. m. EEST,2,3,1,5,5,2,5,2,1,5,1,5,1,2,2,1,5,5,5,5,5,3,6,6,6,6,6,6,6,6,3,2.0,Estándar (5-8h),Aceptable,0.0,10.0,19,16,36,Bajo,Alto,Alto,Bajo,Alto,Alto,6.0,6.0,5.0,Muy alto,Muy alto,Medio,Muy alto,Muy alto,Alto,1.56
2026/05/08 9:23:55 p. m. EEST,2,4,4,1,1,5,5,5,1,5,1,1,1,1,5,5,5,1,2,1,5,1,0,0,0,0,0,0,6,6,0,2.0,Reducida (<4h),Insuficiente,0.0,10.0,28,13,21,Medio,Medio,Bajo,Alto,Alto,Bajo,0.0,2.0,2.0,Muy Bajo,Bajo,Bajo,Muy Bajo,Bajo,Bajo,7.07
2026/05/08 10:18:28 p. m. EEST,1,3,2,5,1,1,5,1,5,1,1,5,1,1,1,1,5,3,5,1,5,1,6,6,6,6,6,6,6,6,6,5.0,Estándar (5-8h),Aceptable,5.0,10.0,12,5,38,Bajo,Bajo,Alto,Bajo,Bajo,Alto,6.0,6.0,6.0,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,Muy alto,1.56
2026/05/09 2:11:44 a. m. EEST,5,5,5,4,4,1,2,5,1,4,4,1,5,1,4,3,4,1,1,1,1,5,5,0,0,0,0,0,0,0,0,2.0,Reducida (<4h),Pobre,5.0,0.0,31,21,15,Medio,Alto,Bajo,Alto,Alto,Bajo,1.67,0.0,0.0,Bajo,Muy Bajo,Muy Bajo,Muy Bajo,Muy Bajo,Muy Bajo,7.07
2026/05/09 1:56:46 p. m. EEST,4,3,4,3,4,3,3,4,3,3,3,3,4,2,3,3,3,3,3,4,2,3,2,2,2,2,1,1,2,2,3,8.0,Estándar (5-8h),Aceptable,10.0,5.0,31,16,23,Medio,Alto,Bajo,Alto,Alto,Bajo,1.67,2.0,2.0,Bajo,Bajo,Bajo,Muy Bajo,Bajo,Bajo,8.24
2026/05/10 12:37:29 p. m. EEST,3,4,4,4,2,4,5,4,5,4,3,3,4,4,1,4,4,4,4,3,2,2,3,3,3,3,1,1,5,5,5,5.0,Estándar (5-8h),Excelente y Reparador,5.0,10.0,34,12,31,Alto,Medio,Medio,Alto,Alto,Medio,2.33,3.67,3.67,Bajo,Medio,Medio,Bajo,Medio,Medio,5.0
2026/05/10 1:06:28 p. m. EEST,3,4,3,4,4,5,4,3,4,5,5,5,2,1,1,4,4,4,3,3,4,2,5,5,4,4,4,4,6,5,6,5.0,Estándar (5-8h),Aceptable,10.0,5.0,28,17,32,Medio,Alto,Medio,Alto,Alto,Medio,4.67,4.67,5.0,Medio,Medio,Medio,Medio,Medio,Alto,2.76
2026/05/10 1:51:59 p. m. EEST,4,5,5,4,4,4,4,5,5,5,5,4,4,5,2,5,5,4,5,4,1,5,3,3,3,5,3,3,6,6,5,10.0,Estándar (5-8h),Insuficiente,0.0,0.0,41,21,32,Alto,Alto,Medio,Alto,Alto,Medio,3.0,4.67,4.67,Medio,Medio,Medio,Bajo,Medio,Alto,6.93
